algorithm,features,n,n_pos,n_neg,mean_auc,ci_lo,ci_hi,delta_vs_raw,p_value
MFP,Z-scores,427,245,182,0.5250370472513329,0.49529532083103506,0.5549923392780536,0.007848624134338426,0.0089
MFP,raw,427,245,182,0.5171884231169946,0.4764884016669731,0.5521504412575841,,
GAMLSS,Z-scores,427,245,182,0.5243637004351291,0.48421630814487954,0.5639333210761781,0.007062205062205052,0.0081
GAMLSS,raw,427,245,182,0.5173014953729239,0.47874670588956303,0.5551713703499417,,
