algo,rho
MFP,0.10625174807429157
MFP,0.13549125523125968
MFP,0.21016085475511811
MFP,-0.11525457646032009
MFP,0.05093311682070449
MFP,0.15151131389322467
MFP,0.2197974616484462
MFP,0.24556708126925222
MFP,-0.07099817698153293
MFP,-0.036304579425759854
MFP,0.08111732107003239
MFP,0.16658907137983772
MFP,-0.042401475193167455
MFP,-0.06869709252114407
MFP,-0.10215345046558588
MFP,0.11110829685503144
MFP,0.05660307672291373
MFP,-0.017765546101721184
MFP,0.1750347574451421
MFP,0.09351779795200027
MFP,0.11659088282754497
MFP,0.041247652503334696
MFP,-0.019588187408864925
MFP,0.08387328894330641
MFP,0.12980285673968261
MFP,-0.04371440063972495
MFP,0.1356487387225479
MFP,0.0681493696102953
MFP,0.034927299513959585
MFP,-0.3258105219784562
MFP,-0.02432464415187876
MFP,0.2281535757891105
MFP,0.2509867744448154
MFP,0.046612603296641485
MFP,0.22949863136710633
MFP,0.0608333975227355
MFP,0.14741882195586614
MFP,0.014817850913480726
MFP,0.011078990850561613
MFP,0.0006798054087409283
MFP,0.13978703800817663
MFP,-0.15180491318673459
MFP,0.2405200985789118
MFP,0.14620730397096512
MFP,0.1017952721057517
MFP,0.07016694205355688
MFP,-0.05348235078808278
MFP,0.46106446025802655
MFP,-0.11351129887645622
MFP,0.16854024568438009
MFP,-0.14300951735080047
MFP,0.06300142558304439
MFP,0.1910374836541988
MFP,0.09960067894012356
MFP,0.17904604616703634
MFP,0.05830501530791172
MFP,0.12532304575734787
MFP,0.005255314637523275
MFP,0.07799389081365514
MFP,0.26030547932996007
MFP,0.14795872855650524
MFP,-0.09029725869427267
MFP,0.0019343666255378829
MFP,0.17265220070104062
MFP,-0.17430231669882443
MFP,-0.19150392182975196
MFP,0.0676681978484551
MFP,0.08151213470140564
MFP,0.12220205258908359
MFP,0.12572437783637055
MFP,0.04231329341433399
MFP,-0.014437432361959091
MFP,-0.16449864910025272
MFP,0.04984169288883226
MFP,0.00981177440844243
MFP,-0.19905616866713857
MFP,0.11602624746483681
MFP,0.132231295135263
MFP,0.11172693758252931
MFP,0.17691133115700466
MFP,0.02934213079563915
MFP,0.1826124568116762
MFP,-0.04769348079810917
MFP,0.20497707352091785
MFP,0.10044980416139743
MFP,0.1663777334347573
MFP,0.10259384959599045
MFP,0.19881552237798877
MFP,-0.14780177772143532
MFP,0.08321185665372065
MFP,0.2399983782822218
MFP,0.19051087251985632
MFP,0.04759789717259635
MFP,0.05018635307784454
MFP,0.15676294263575477
MFP,0.2458507074151989
MFP,0.10359610793239693
MFP,0.09768054036279929
MFP,0.04290685313308153
MFP,0.25762170429267806
MFP,0.032796017691961
MFP,0.01725235888669545
MFP,0.14593768544943764
MFP,0.049853128043442926
MFP,-0.06884407747438535
MFP,-0.02654915717920652
MFP,-0.1061553382157841
MFP,0.050584543172251716
MFP,-0.06767702126490241
MFP,0.14157112953952988
MFP,0.41174859802357794
MFP,-0.009067779745973198
MFP,0.1406829733710618
MFP,0.1576964817087402
MFP,-0.07313449011560078
MFP,-0.19335436603589246
MFP,0.19102531985620083
MFP,0.14335949084083252
MFP,-0.021598705178103257
MFP,0.02528611738011378
MFP,0.1875563442145967
MFP,0.1358315266319744
MFP,-0.1954606227465231
MFP,-0.0909519943226866
MFP,-0.08897977213000517
MFP,0.01877130788742053
MFP,0.14792198231819495
MFP,-0.15408533479781025
MFP,0.4065178736136773
MFP,0.27267722104595515
MFP,0.052014300328258586
MFP,0.1923488054659117
MFP,0.034645799567122805
MFP,-0.024528316784707686
MFP,0.23791768031812127
MFP,-0.23347409539663544
MFP,0.07099999893653093
MFP,0.23860641095400326
MFP,-0.12040167749412478
MFP,0.3416922818291247
MFP,0.1732033942756954
MFP,0.20244956546816112
MFP,0.23333939356377773
MFP,0.0007435480745115778
MFP,-0.2314829282358636
MFP,-0.09666097987529794
MFP,-0.009134700629707317
MFP,0.1694387784760955
MFP,0.23456947650910845
MFP,-0.01515816020503529
MFP,0.08879728487688936
MFP,0.11463780842314203
MFP,-0.28581903563257743
MFP,0.008029053070805016
MFP,0.1295544002208506
MFP,-0.10082220882411345
MFP,0.12112752204305273
MFP,0.14860598482913065
MFP,0.19999306103941625
MFP,-0.2015615356090405
MFP,0.1767723813867458
MFP,0.025687815621816653
MFP,0.03033183053168243
MFP,0.21121925249969598
MFP,0.09754288959474561
MFP,0.10154072124067515
MFP,0.09153794729798014
MFP,-0.10299818087039239
MFP,0.03724147179803752
MFP,0.09020523057982664
MFP,0.0002988357687850486
MFP,0.02207212319302687
MFP,0.1417118680437508
MFP,0.0192626750081311
MFP,-0.009388663888286873
MFP,-0.12851995492502574
MFP,0.019086891924555215
MFP,0.06759169262296498
MFP,0.21741058966721327
MFP,-0.07680976149370336
MFP,0.02908464762261863
MFP,-0.19604472889910318
MFP,-0.03354692506386251
MFP,0.06005035877960171
MFP,0.07872886283752777
MFP,0.1921009561077412
MFP,0.34046564438338894
MFP,0.20448249164490484
MFP,0.1712190974069381
MFP,0.1677964315045919
MFP,-0.019588187408864925
MFP,0.14516601444492092
MFP,-0.045175163936234275
MFP,0.2556229735174455
MFP,0.24069371953415272
MFP,0.17199927967723316
MFP,0.04587767853043507
MFP,0.24300458104194012
MFP,0.02946928843756705
MFP,0.24018195765057548
MFP,0.027764293003767485
MFP,-0.02889494595018445
MFP,0.021124467668959458
MFP,-0.21358751017873756
MFP,0.1718035898492889
MFP,0.11402840828402554
MFP,0.11794088743800313
MFP,0.2766529942950578
MFP,0.2635501578647281
MFP,0.1791467071332749
MFP,-0.018685462180797946
MFP,0.30912189396746365
MFP,0.31578390251356003
MFP,0.2006528342935048
MFP,0.03706325151689099
MFP,0.16908781558493954
MFP,0.002303431614595935
MFP,0.06713214570428193
MFP,0.009544216693135089
MFP,0.22475815941577815
MFP,-0.057232739164317946
MFP,0.22263133431365834
MFP,0.18177414461250013
MFP,-0.12922842309132881
MFP,0.10492888349512
MFP,-0.20050584934026347
MFP,0.20616477004005287
MFP,0.06123462691451615
MFP,0.18607369940410445
MFP,0.13432667806887935
MFP,-0.03625388040008687
MFP,0.1372288269698917
MFP,0.07799389081365514
MFP,0.198084747755001
MFP,0.11161438254016759
MFP,0.11410690259027002
MFP,0.33003633938414306
MFP,0.12377130343196761
MFP,0.07016029607732154
MFP,0.006069848884271927
MFP,0.43806857516645215
MFP,0.08566736029908392
MFP,0.3087394971073605
MFP,-0.010963168190988247
MFP,0.00579208229140889
MFP,0.33216762120614163
MFP,0.26727376435011574
MFP,-0.11896594652966243
MFP,-0.07457649065079534
MFP,0.13797896233458518
MFP,0.2179401261854355
MFP,0.0754216541319327
MFP,0.10011512627646806
MFP,0.006036897723504704
MFP,0.14846691808221288
MFP,-0.0684533430954957
MFP,0.11387189689200361
MFP,-0.0987555154589862
MFP,0.09737255298211077
MFP,-0.020596266572934608
MFP,0.12126546943170245
MFP,0.14288774766968104
MFP,-0.05450309156291497
MFP,0.09316076387268889
MFP,0.31452157026198946
MFP,0.01839209491041641
MFP,-0.2687803601208389
MFP,0.2678477534125083
MFP,0.05995400919196111
MFP,0.4528207773775509
MFP,-0.06954225600228144
MFP,0.20822886791440898
MFP,0.1440105156423002
MFP,0.2655099449112204
MFP,0.048266184020605896
MFP,-0.22273732351800735
MFP,0.13327293995649905
MFP,0.14125643063161616
MFP,0.10165846828550149
MFP,0.3403286980736164
MFP,0.29406177207833933
MFP,0.025189546361724664
MFP,0.2856084099615143
MFP,-0.06954225600228144
MFP,0.04617164843691764
MFP,-0.07969104295391434
MFP,0.08571060085882243
MFP,0.3646807684600865
MFP,0.09827227051461353
MFP,0.1608414215390668
MFP,0.07101914672480937
MFP,0.08376305022837545
MFP,0.020545576822787938
MFP,-0.12133506539531501
MFP,0.09658748739867729
MFP,-0.0193584139495234
MFP,0.09397734487068332
MFP,-0.08137454473820463
MFP,-0.04141234476552476
MFP,-0.01608414215390668
MFP,-0.11987554050959343
MFP,0.14100334419960656
MFP,0.14159261533916906
MFP,0.056811487822191815
MFP,0.34366919379727195
MFP,0.1820984641530021
MFP,-0.1792665235968983
MFP,0.06554287927716973
MFP,-0.12833623729879415
MFP,0.06693327308224868
MFP,0.08639482071241303
MFP,0.02443086530538041
MFP,0.0902711934023926
MFP,0.04852340768877814
MFP,-0.07185726901583163
MFP,-0.030746060498779777
MFP,0.06797025377062274
MFP,0.036029686663269195
MFP,-0.10728064274698054
MFP,0.2776797987789071
MFP,0.14130765942233725
MFP,0.1630098324156121
MFP,-0.1138582194045279
MFP,-0.0547335219632223
MFP,0.21740911896301088
MFP,0.04241235103678964
MFP,0.10536983835484388
MFP,0.33721169937196493
MFP,0.06619834831604228
MFP,0.1760447654321643
MFP,0.09125928284368082
MFP,0.017436090078247053
MFP,0.037352551242440725
MFP,0.04525081561568754
MFP,-0.04417029633110444
MFP,-0.11187392253577058
MFP,0.2704339408448033
MFP,-0.022066116105347425
MFP,-0.24416038045292415
MFP,0.12620495547679558
MFP,0.29535463419525065
MFP,-0.0074101940637641495
MFP,0.07411487873553739
MFP,-0.003877929173939992
MFP,0.2559484859181793
MFP,-0.05087516694063866
MFP,0.24799415399048394
MFP,-0.058209276366519416
MFP,-0.08089684364017044
MFP,-0.049287827551407544
MFP,0.2667225707754609
MFP,0.10372921574272131
MFP,-0.0014514764132576574
MFP,-0.01903129000237967
MFP,0.099306709033641
MFP,0.1417118680437508
MFP,0.146756367269736
MFP,-0.0693246986628424
MFP,0.26639185463066806
MFP,0.11634196157992499
MFP,0.2339081799643448
MFP,0.1227564706532092
MFP,0.01880312808944805
MFP,0.3163868215107414
MFP,0.12778504372413932
MFP,0.051825693391081624
MFP,0.17574289846848648
MFP,0.07852077643173232
MFP,-0.16777631195586246
MFP,0.14254878799921963
