region,GAMLSS,MFP,PCN
lh_bankssts_thickness,0.9739968445835206,0.9721110782100462,0.9073076983392023
lh_caudalanteriorcingulate_thickness,1.0047437542027322,0.9664525625118018,0.9461684572395239
lh_caudalmiddlefrontal_thickness,0.929131581366338,0.8920153748113497,0.7396304955080516
lh_cuneus_thickness,0.986743646377697,1.043096552544093,0.8878106977511803
lh_entorhinal_thickness,1.0707419146020618,1.0964697430650645,1.0073930513346667
lh_frontalpole_thickness,1.2765581962073147,1.2187129340968594,0.9546989474095477
lh_fusiform_thickness,1.0481550846140044,1.143530056880513,0.9802503383990941
lh_inferiorparietal_thickness,1.08094089739913,1.127035172948869,0.8833445024135278
lh_inferiortemporal_thickness,0.9987804203878338,0.9714338351810449,0.9525150090588516
lh_insula_thickness,1.0963939126560713,1.0544351074009637,0.8193371916671103
lh_isthmuscingulate_thickness,1.0445615825290286,1.0315203517740343,0.91799749030598
lh_lateraloccipital_thickness,1.0043943594952482,0.9661166125313718,0.9531040397454945
lh_lateralorbitofrontal_thickness,1.3393995645998784,1.4013213728218707,0.914242985066355
lh_lingual_thickness,1.22094818896902,1.3003214372990248,0.9697263624830464
lh_medialorbitofrontal_thickness,1.298930841748726,1.286597261043332,0.9627287419957499
lh_middletemporal_thickness,0.8072831747705005,0.8693182402386885,0.8579495258434209
lh_paracentral_thickness,1.1008958386409002,1.0931909555492851,0.9043978705826301
lh_parahippocampal_thickness,1.0227047626309855,0.9957791389461264,0.9955726589262603
lh_parsopercularis_thickness,0.997272495861734,1.031739020741105,0.7905981462403515
lh_parsorbitalis_thickness,0.9546051342996512,0.9590325056335545,0.9577302117903186
lh_parstriangularis_thickness,0.9190987380361881,0.8380969552379893,0.7826548901255446
lh_pericalcarine_thickness,1.1685138564781068,1.2625323908956056,0.9561744533378447
lh_postcentral_thickness,0.9669653278626771,1.0383866903550387,0.7755396398900449
lh_posteriorcingulate_thickness,0.9246966504035072,0.9385565309063431,0.8089444587931637
lh_precentral_thickness,0.9258377270753064,1.116775362774373,0.8256583666807139
lh_precuneus_thickness,0.8084366463426073,0.8402309627435948,0.7339711972572023
lh_rostralanteriorcingulate_thickness,0.9855011514868515,0.9090005493352213,0.8721515704464311
lh_rostralmiddlefrontal_thickness,1.0810617060592256,1.0563649950708145,0.8361345010865693
lh_superiorfrontal_thickness,1.0393200715913986,0.9234123952102394,0.7274483182264354
lh_superiorparietal_thickness,0.9760973665491298,1.0002423719037234,0.8843508111430932
lh_superiortemporal_thickness,0.8536484488068162,0.9698780838292369,0.8171436476299797
lh_supramarginal_thickness,0.8980006502001782,0.9881142920519002,0.7591062055818855
lh_temporalpole_thickness,0.901946304487893,0.9267333224368156,1.0020038322818652
lh_transversetemporal_thickness,1.015804050777145,1.0309218401625901,0.8692742088447437
rh_bankssts_thickness,1.3242478041438717,1.3278579843755733,0.9403512177535963
rh_caudalanteriorcingulate_thickness,1.1378798316054528,1.1116900634736477,0.9719357249360004
rh_caudalmiddlefrontal_thickness,0.9028926652948095,0.8569058621338687,0.7524236123608452
rh_cuneus_thickness,0.9593979809711156,0.9727138105437808,0.8654199500631443
rh_entorhinal_thickness,1.0651872184400022,1.0871988276856237,1.0148287362914195
rh_frontalpole_thickness,1.2523364290167402,1.1781475369946854,0.9736864765427087
rh_fusiform_thickness,1.1440880580461794,1.3081889981148587,0.993582563280912
rh_inferiorparietal_thickness,0.9382155387696912,1.0185582561163817,0.8239009584803184
rh_inferiortemporal_thickness,0.9893049850458623,1.010633871814458,0.9725857281858996
rh_insula_thickness,1.1410898851135705,1.095105292265443,0.848455964765767
rh_isthmuscingulate_thickness,1.2123328521017402,1.2710113290815446,0.9371726681842263
rh_lateraloccipital_thickness,0.9375341053625328,0.8949792421974788,0.9746073808795751
rh_lateralorbitofrontal_thickness,1.093031391064023,1.0590923014376943,0.8784913391683715
rh_lingual_thickness,1.2095484511618109,1.2590246362269213,0.9671136090363699
rh_medialorbitofrontal_thickness,1.1383272861121756,1.0875075093434072,0.9504676751348669
rh_middletemporal_thickness,0.9888313315185043,0.9654499757584146,0.8613618158740094
rh_paracentral_thickness,1.0028471871233273,1.0370627852986367,0.8722186262515007
rh_parahippocampal_thickness,1.0153476495986755,1.0176459196526875,0.9684029861208624
rh_parsopercularis_thickness,0.9329277647633395,0.9939039278654034,0.7762061898942367
rh_parsorbitalis_thickness,0.9656031333356718,0.9616808649722696,0.8934285479763076
rh_parstriangularis_thickness,0.9927081541771522,1.0317326200541388,0.7904562990989059
rh_pericalcarine_thickness,1.2917991666567112,1.3327285060552168,0.9467184568561962
rh_postcentral_thickness,0.9154809230274571,0.9381091684301408,0.7928746797900766
rh_posteriorcingulate_thickness,0.9993182376633032,1.0162011371813817,0.8859791486174323
rh_precentral_thickness,0.89712187749977,0.9825296819788447,0.8559969297810109
rh_precuneus_thickness,0.9439522011493927,1.0641480281251594,0.7840440943476189
rh_rostralanteriorcingulate_thickness,0.9840842659950092,0.9763209314567907,0.9292636113546489
rh_rostralmiddlefrontal_thickness,1.1992347994229522,1.3614799907497923,0.8842282056828177
rh_superiorfrontal_thickness,1.0342552113216972,1.0167194580771266,0.7523537573816006
rh_superiorparietal_thickness,0.8758112003024703,0.9602228552121667,0.8519078305952935
rh_superiortemporal_thickness,0.9075325462022574,0.9912369831751502,0.8283987595426111
rh_supramarginal_thickness,0.9529334911844409,1.094714158963331,0.7254576362614945
rh_temporalpole_thickness,0.8647139848625138,0.8495628733286746,1.0075985667729195
rh_transversetemporal_thickness,0.98746360737001,1.0269165361600967,0.8401287527558344
