"algorithm","measure","region","n","mean_z","sd_z"
"MFP","thickness","lh_superiortemporal_thickness",100,0.00400809317433912,0.995714062587556
"MFP","area","lh_supramarginal_area",100,-0.00142558218276722,1.20282664509476
"MFP","thickness","lh_supramarginal_thickness",100,0.00171294546132882,0.999429835775661
"MFP","area","lh_temporalpole_area",100,0.00195079231986222,1.18747781765899
"MFP","thickness","lh_temporalpole_thickness",100,0.00162463553566173,0.939421635177878
"MFP","area","lh_transversetemporal_area",100,0.000213072465638222,0.894442757842439
"MFP","thickness","lh_transversetemporal_thickness",100,-0.00196333559679905,1.05060765967555
"MFP","area","rh_bankssts_area",100,-0.00184273473624777,0.927528522377474
"MFP","thickness","rh_bankssts_thickness",100,-0.0037954894310431,1.35547070237818
"MFP","area","rh_caudalanteriorcingulate_area",100,0.00259918496136451,0.967679853239975
"MFP","thickness","rh_caudalanteriorcingulate_thickness",100,-0.00301198800994853,1.12119976644776
"MFP","area","rh_caudalmiddlefrontal_area",100,0.00237754915014676,0.832849702318278
"MFP","thickness","rh_caudalmiddlefrontal_thickness",100,0.00320158176697548,0.903225244606617
"MFP","area","rh_cuneus_area",100,0.00541695145406279,0.977233218740333
"MFP","thickness","rh_cuneus_thickness",100,0.00136750324818091,0.989032349304755
"MFP","area","rh_entorhinal_area",100,-0.00301746377418294,1.03980502421088
"MFP","thickness","rh_entorhinal_thickness",100,0.00240977713859605,1.09871480876337
"MFP","area","rh_frontalpole_area",100,0.0045164100110391,1.21956236749737
"MFP","thickness","rh_frontalpole_thickness",100,-0.00254207236198244,1.20886312561975
"MFP","area","rh_fusiform_area",100,-0.00443187661345684,1.10764768581584
"MFP","thickness","rh_fusiform_thickness",100,0.00231568515989788,1.33781586497846
"MFP","area","rh_inferiorparietal_area",100,0.00415030276157056,1.07559135367039
"MFP","thickness","rh_inferiorparietal_thickness",100,0.000303515208743488,1.03542429457492
"MFP","area","rh_inferiortemporal_area",100,-0.003114774267357,0.95452988440154
"MFP","thickness","rh_inferiortemporal_thickness",100,-0.00331055324065725,1.01946920368396
"MFP","area","rh_insula_area",100,-0.00182994281641255,1.15695298384104
"MFP","thickness","rh_insula_thickness",100,0.000507789756348346,1.11878837054405
"MFP","area","rh_isthmuscingulate_area",100,0.00256066825661564,1.14036903247742
"MFP","thickness","rh_isthmuscingulate_thickness",100,-1.22183618441495e-05,1.27695537261611
"MFP","area","rh_lateraloccipital_area",100,0.00463022569311439,1.15947181065743
"MFP","thickness","rh_lateraloccipital_thickness",100,-0.00479719259292662,0.933460879106413
"MFP","area","rh_lateralorbitofrontal_area",100,0.000450889114918013,1.54409812669568
"MFP","thickness","rh_lateralorbitofrontal_thickness",100,-0.00330285183365659,1.0806623582082
"MFP","area","rh_lingual_area",100,0.00146042266767988,1.25086011515707
"MFP","thickness","rh_lingual_thickness",100,0.000171763653402673,1.26980549808505
"MFP","area","rh_medialorbitofrontal_area",100,0.000952248384874331,1.19940927174428
"MFP","thickness","rh_medialorbitofrontal_thickness",100,-0.00228859410639407,1.13061565493553
"MFP","area","rh_middletemporal_area",100,-0.0018078681161685,1.10262399097354
"MFP","thickness","rh_middletemporal_thickness",100,-0.00192211413966361,0.977579991508791
"MFP","area","rh_paracentral_area",100,7.93527480746581e-05,1.0935608293788
"MFP","thickness","rh_paracentral_thickness",100,-0.00232574139020347,1.06016756065949
"MFP","area","rh_parahippocampal_area",100,0.0014572923191121,0.817741308133947
"MFP","thickness","rh_parahippocampal_thickness",100,0.00226507434628139,1.02844031634365
"MFP","area","rh_parsopercularis_area",100,-0.00392235941645685,1.04040394688301
