algorithm,n_regions_matched,n_subjects,median_r,mean_r,frac_r_gt_0.7,frac_r_gt_0.9
MFP,68,425,0.8284249422469785,0.8131088001189035,0.8235294117647058,0.2647058823529412
GAMLSS,68,425,0.9548794156113565,0.9409849026937892,1.0,0.8235294117647058
PCN,68,425,0.9429480864830478,0.937168175040393,1.0,0.8529411764705882
