auc_zscore,auc_raw,delta_zscore_minus_raw
0.7520275791624106,0.7990130234933606,-0.04698544433094998
0.7899808478038816,0.7735546475995914,0.016426200204290198
0.7723186925434116,0.8081026557711951,-0.035783963227783544
0.8165181307456587,0.7959333503575076,0.020584780388151147
0.8098442288049028,0.7905630745658835,0.019281154239019327
0.7698978549540347,0.8066662410623084,-0.03676838610827371
0.7972395301327885,0.8164977017364657,-0.019258171603677265
0.8023684882533196,0.7792173135852911,0.023151174668028518
0.7879187946884576,0.8087742594484165,-0.02085546475995892
0.7839185393258428,0.775744382022472,0.008174157303370788
0.7843858529111338,0.7934486721144024,-0.009062819203268568
0.8032839632277835,0.8071616445352401,-0.003877681307456582
0.8128179264555669,0.8172867722165474,-0.0044688457609805
0.8237474463738508,0.7878064351378958,0.035941011235954945
0.819514811031665,0.804117722165475,0.015397088866190067
0.7843832992849846,0.8033107763023495,-0.018927477017364858
0.7937640449438202,0.810949948927477,-0.017185903983656714
0.7935827374872318,0.7974438202247192,-0.003861082737487309
0.7876008682328907,0.8081511746680287,-0.020550306435138
0.7953255873340144,0.7806077630234933,0.014717824310521044
0.7824208375893769,0.7811376404494381,0.001283197139938741
0.8052808988764045,0.7820684371807967,0.023212461695607867
0.8037934116445353,0.7783363125638406,0.02545709908069471
0.8016024004085802,0.8233950459652706,-0.02179264555669036
0.7889785495403473,0.7503345250255362,0.03864402451481108
0.7880758426966292,0.7956754341164454,-0.007599591419816143
0.7792466802860061,0.7991355975485189,-0.01988891726251285
0.7953868743615935,0.7888942798774259,0.006492594484167613
0.8260623084780387,0.7899514811031664,0.03611082737487237
0.7825114913176712,0.7877528089887641,-0.005241317671092927
0.8117326353421859,0.7980388151174668,0.0136938202247191
0.8091917773237997,0.7896450459652706,0.019546731358529024
0.7828370786516855,0.8135980592441265,-0.030760980592441034
0.8147663432073543,0.7808669560776302,0.03389938712972407
0.8049897854954035,0.7966355975485188,0.008354187946884695
0.8466866700715017,0.8060125127681307,0.040674157303370984
0.8001327885597549,0.7926889683350358,0.007443820224719122
0.78005873340143,0.8031345760980593,-0.023075842696629323
0.8108682328907048,0.8168922369765067,-0.006024004085801948
0.8040538815117466,0.8099170071501532,-0.00586312563840663
0.7992977528089887,0.7894216036772217,0.009876149131767042
0.791608784473953,0.7743603166496424,0.017248467824310554
0.7982788559754852,0.8047778345250254,-0.00649897854954018
0.7937206332992849,0.8221539836567928,-0.028433350357507936
0.8175510725229825,0.7528460163432074,0.06470505617977518
0.7872688968335038,0.7837423391215527,0.003526557711951095
0.8101927987742595,0.7685240040858018,0.041668794688457744
0.8125893769152196,0.7833886618998979,0.029200715015321732
0.790185137895812,0.8091100612870277,-0.018924923391215653
0.7722599591419816,0.7746603677221655,-0.002400408580183866
0.790649897854954,0.7876991828396323,0.0029507150153217365
0.7822408069458632,0.7585099591419816,0.023730847803881572
0.8062040347293156,0.7905337078651686,0.015670326864146933
0.8064313074565883,0.7836465781409601,0.02278472931562825
0.8237219101123596,0.8065155771195096,0.017206332992850015
0.8192786006128703,0.8034180286006128,0.015860572012257435
0.7934167517875383,0.8031396833503575,-0.009722931562819115
0.770464759959142,0.7754162410623084,-0.004951481103166455
0.8063891726251275,0.821446629213483,-0.015057456588355445
0.8206933094994892,0.7950715015321757,0.025621807967313504
0.8110495403472932,0.8368258426966293,-0.025776302349336144
0.7983375893769151,0.7714747191011236,0.026862870275791484
0.7964798263534218,0.7838253319713993,0.012654494382022596
0.807614913176711,0.80613253319714,0.0014823799795710135
0.809244126659857,0.7782699182839632,0.03097420837589382
0.7976455566905005,0.8002132277834525,-0.002567671092951973
0.7768807456588356,0.8015245148110317,-0.024643769152196127
0.8091164453524005,0.7947842185903984,0.014332226762002076
0.7970109805924412,0.8033235444330948,-0.0063125638406535955
0.7790513278855975,0.8073072012257405,-0.028255873340143012
0.8188278855975486,0.8075063840653728,0.011321501532175815
0.7813227783452503,0.7792224208375893,0.0021003575076610215
0.7799170071501533,0.8051225740551583,-0.025205566905004972
0.7816905005107252,0.7618513789581205,0.0198391215526047
0.774943820224719,0.8147637895812053,-0.03981996935648635
0.8029443309499488,0.8078358018386108,-0.004891470888662042
0.813729570990807,0.7804583758937691,0.03327119509703791
0.7955835035750767,0.7912934116445351,0.004290091930541529
0.797588100102145,0.7868986210418794,0.010689479060265628
0.7943130745658835,0.7955528600612871,-0.0012397854954036003
0.7983146067415731,0.8042415730337078,-0.005926966292134739
0.8182111848825333,0.7814134320735444,0.03679775280898889
0.8178638917262513,0.7974910623084781,0.020372829417773186
0.7853383554647599,0.8025727783452503,-0.017234422880490374
0.827267620020429,0.7937104187946885,0.03355720122574046
0.7980439223697651,0.8025153217568948,-0.004471399387129704
0.7832405515832482,0.8001302349336058,-0.016889683350357565
0.7997331460674156,0.7818807456588355,0.01785240040858016
0.8111670071501532,0.7950804392236975,0.016086567926455686
0.7692288049029621,0.7660214504596528,0.0032073544433093293
0.7905337078651685,0.7966956077630234,-0.006161899897854872
0.7998608273748723,0.8027834525025537,-0.0029226251276813775
0.7975587334014301,0.7950038304392236,0.0025549029622065067
0.8072305924412666,0.8045045965270685,0.002725995914198087
0.8047880490296221,0.8008758937691521,0.003912155260469952
0.8136899897854954,0.7962806435137896,0.017409346271705872
0.7946693054136874,0.7779558222676201,0.016713483146067354
0.8072918794688457,0.8033120531154239,0.003979826353421867
0.8081026557711951,0.7741802860061288,0.03392236976506635
0.8061082737487231,0.7805694586312564,0.025538815117466696
