measure,region,GAMLSS,MFP,diff_SD
area,lh_bankssts_area,1.0961268688956955,1.1024739977926346,-0.006347128896939003
area,lh_caudalanteriorcingulate_area,1.1279378750707676,1.1835033273273794,-0.0555654522566118
area,lh_caudalmiddlefrontal_area,0.9378259431957545,0.8648964724788638,0.07292947071689071
area,lh_cuneus_area,1.0112135025730649,0.9998904007976199,0.011323101775444933
area,lh_entorhinal_area,1.1361340763161552,1.1838884452153453,-0.04775436889919016
area,lh_frontalpole_area,1.072078237083879,1.1679009278606962,-0.09582269077681715
area,lh_fusiform_area,0.9090059471910334,1.1018557064514563,-0.1928497592604228
area,lh_inferiorparietal_area,1.1603405909708184,1.0724702509098882,0.0878703400609302
area,lh_inferiortemporal_area,0.9415447622944404,0.9876444070868562,-0.046099644792415795
area,lh_insula_area,0.9858123394515466,1.0345223247184134,-0.04870998526686687
area,lh_isthmuscingulate_area,1.035322203206386,0.8874911251557465,0.14783107805063955
area,lh_lateraloccipital_area,1.0164727467529664,1.0559425812384209,-0.03946983448545449
area,lh_lateralorbitofrontal_area,1.5257306340279273,1.5890088412605048,-0.06327820723257749
area,lh_lingual_area,0.8855952777030204,0.9518754722259926,-0.06628019452297218
area,lh_medialorbitofrontal_area,1.1631800844404567,1.2403986612212679,-0.07721857678081112
area,lh_middletemporal_area,0.9727616199099607,1.0183524653876688,-0.045590845477708086
area,lh_paracentral_area,0.9802680282905477,0.8744492692441764,0.10581875904637128
area,lh_parahippocampal_area,0.8977172225661928,0.8358106708127943,0.06190655175339854
area,lh_parsopercularis_area,1.0697717400828575,1.0584732924004912,0.01129844768236632
area,lh_parsorbitalis_area,1.0596279445745882,0.9669961633435111,0.09263178123107707
area,lh_parstriangularis_area,1.0196951668083862,1.0185040885506986,0.0011910782576876056
area,lh_pericalcarine_area,0.9172379042002637,0.9571573066987396,-0.03991940249847581
area,lh_postcentral_area,1.074632207320869,0.97633088212529,0.09830132519557899
area,lh_posteriorcingulate_area,1.0158369306003903,0.858761113739851,0.15707581686053929
area,lh_precentral_area,1.0105823297737186,0.9760749124450852,0.034507417328633494
area,lh_precuneus_area,1.1279971468096495,1.0421118654075585,0.08588528140209095
area,lh_rostralanteriorcingulate_area,1.0696869345678086,0.9889315726831863,0.08075536188462229
area,lh_rostralmiddlefrontal_area,0.9735009037542682,0.8958284543566181,0.07767244939765017
area,lh_superiorfrontal_area,1.1099714082730592,1.143723517786192,-0.03375210951313279
area,lh_superiorparietal_area,1.2099394477836607,1.120355370665808,0.08958407711785266
area,lh_superiortemporal_area,0.9468857199950426,0.9625713526901986,-0.015685632695155993
area,lh_supramarginal_area,1.1587325103858068,1.160217549056148,-0.00148503867034111
area,lh_temporalpole_area,1.216974827738595,1.1441194418667258,0.07285538587186924
area,lh_transversetemporal_area,0.9010321419108441,0.881830418346335,0.01920172356450911
area,rh_bankssts_area,0.9630035753200513,0.9114049500270729,0.05159862529297843
area,rh_caudalanteriorcingulate_area,0.9363750834909665,0.9324081685662425,0.003966914924724008
area,rh_caudalmiddlefrontal_area,0.8459934178998259,0.8116515177855461,0.03434190011427973
area,rh_cuneus_area,1.0273154184123783,0.9587960149249468,0.06851940348743146
area,rh_entorhinal_area,0.9746394733566448,1.0048770809704588,-0.030237607613814
area,rh_frontalpole_area,1.2243281600781335,1.1960905648267302,0.028237595251403347
area,rh_fusiform_area,1.0520998214844606,1.0717079829857998,-0.01960816150133926
area,rh_inferiorparietal_area,1.120599262906054,1.046655979238371,0.07394328366768299
area,rh_inferiortemporal_area,0.9340472195048293,0.9398126824685444,-0.005765462963715162
area,rh_insula_area,1.0815038725128072,1.1467770947249951,-0.0652732222121879
area,rh_isthmuscingulate_area,1.2341969747285448,1.1251457229728965,0.10905125175564834
area,rh_lateraloccipital_area,1.126621406216536,1.1398658084867859,-0.013244402270249811
area,rh_lateralorbitofrontal_area,1.4346300411371966,1.5107725205554847,-0.07614247941828811
area,rh_lingual_area,1.1389246800480517,1.2152413227534828,-0.07631664270543115
area,rh_medialorbitofrontal_area,1.124801181074227,1.1762557049240434,-0.0514545238498163
area,rh_middletemporal_area,1.0297372972110173,1.0708975296386793,-0.04116023242766209
area,rh_paracentral_area,1.1051079720295298,1.0772788119549794,0.027829160074550385
area,rh_parahippocampal_area,0.7612154065341306,0.8033621390217403,-0.042146732487609695
area,rh_parsopercularis_area,1.0761901702223018,1.0272899511097104,0.04890021911259135
area,rh_parsorbitalis_area,1.1125108477382941,1.0576855649711272,0.054825282767166916
area,rh_parstriangularis_area,0.9422591632181196,0.9414880261914588,0.000771137026660873
area,rh_pericalcarine_area,1.021238578600991,1.0608984298982949,-0.03965985129730387
area,rh_postcentral_area,0.936944443427733,0.9227780726716844,0.01416637075604854
area,rh_posteriorcingulate_area,1.0955852893851954,0.9688647771409616,0.12672051224423375
area,rh_precentral_area,1.0180958851339732,0.9052850655512052,0.11281081958276795
area,rh_precuneus_area,1.1833382267837242,1.2666152805177444,-0.08327705373402017
area,rh_rostralanteriorcingulate_area,0.9820283433018859,0.8351127495117769,0.146915593790109
area,rh_rostralmiddlefrontal_area,1.109943967546441,1.0098013346648695,0.10014263288157155
area,rh_superiorfrontal_area,1.027939197402239,1.0147868087390737,0.01315238866316526
area,rh_superiorparietal_area,1.2251134823248184,1.1940032585648273,0.031110223759991174
area,rh_superiortemporal_area,1.0700356331729148,1.2209726618677619,-0.15093702869484704
area,rh_supramarginal_area,0.9112828192380003,0.8644256893304099,0.04685712990759039
area,rh_temporalpole_area,1.0434209689317402,1.0300625710179858,0.013358397913754372
area,rh_transversetemporal_area,0.9308142537306066,0.968281872198353,-0.03746761846774649
subcortical,Left-Accumbens-area,1.239570555687261,1.2438514769776394,-0.004280921290378492
subcortical,Left-Amygdala,1.0186816638703633,1.0538192187826054,-0.03513755491224213
subcortical,Left-Caudate,0.9528459397923226,0.972426429457533,-0.01958048966521042
subcortical,Left-Hippocampus,1.0156932777571763,1.0487470714437732,-0.03305379368659689
subcortical,Left-Pallidum,1.0963678826949028,1.1166506240357819,-0.02028274134087904
subcortical,Left-Putamen,1.0079891426668923,1.0150138421253918,-0.007024699458499484
subcortical,Left-Thalamus,1.3237043131611024,1.5078120570583138,-0.1841077438972114
