algorithm,n,mean_rho,median_rho,frac_pos
MFP,430,0.04362549377964261,0.04603639967971089,0.6511627906976745
GAMLSS,430,0.029079413786628226,0.02824411853754985,0.6232558139534884
PCN,430,0.04465754800068048,0.05416011974734548,0.6395348837209303
