algo,auc
MFP,0.8105426455566904
MFP,0.8008260980592441
MFP,0.8097127170582226
MFP,0.7953255873340143
MFP,0.8174221144024514
MFP,0.7788151174668028
MFP,0.8030745658835545
MFP,0.7888968335035751
MFP,0.7889772727272726
MFP,0.8049821246169561
MFP,0.8041419816138917
MFP,0.7911670071501532
MFP,0.8262155260469868
MFP,0.7941930541368744
MFP,0.7845658835546475
MFP,0.8132584269662921
MFP,0.8037985188968335
MFP,0.8150817160367723
MFP,0.7753358018386108
MFP,0.7656550051072524
MFP,0.7850421348314607
MFP,0.8042543411644536
MFP,0.7744650153217568
MFP,0.7969152196118487
MFP,0.7771067415730336
MFP,0.8165653728294178
MFP,0.7963598059244127
MFP,0.820523493360572
MFP,0.7635520939734423
MFP,0.8057763023493362
MFP,0.7945301327885598
MFP,0.7796016343207354
MFP,0.8026404494382022
MFP,0.7717632788559754
MFP,0.7773595505617978
MFP,0.804576098059244
MFP,0.7808567415730338
MFP,0.7623340143003065
MFP,0.8250842696629214
MFP,0.7884461184882533
MFP,0.7914389683350357
MFP,0.7999591419816138
MFP,0.7869496935648621
MFP,0.8109908069458631
MFP,0.7812678753830439
MFP,0.8009244126659857
MFP,0.8072791113381002
MFP,0.8101391726251277
MFP,0.7871616445352401
MFP,0.7807967313585291
MFP,0.8214096016343208
MFP,0.8002106741573034
MFP,0.7948250766087843
MFP,0.7825855464759959
MFP,0.7955681818181819
MFP,0.8103306945863127
MFP,0.7939887640449438
MFP,0.8112346782431052
MFP,0.773526557711951
MFP,0.8050536261491319
MFP,0.7888598059244127
MFP,0.7862359550561797
MFP,0.7921782431052093
MFP,0.7723735955056179
MFP,0.7905196629213482
MFP,0.8057507660878448
MFP,0.8085278345250255
MFP,0.794465015321757
MFP,0.8140755873340144
MFP,0.8082980081716038
MFP,0.789273493360572
MFP,0.8005732890704801
MFP,0.8181920326864148
MFP,0.8170480081716036
MFP,0.7805081716036772
MFP,0.8002042900919305
MFP,0.7823518896833503
MFP,0.8188483146067416
MFP,0.8291177221654749
MFP,0.7881664964249234
MFP,0.8048467824310521
MFP,0.8119050051072524
MFP,0.8039338610827373
MFP,0.7928460163432074
MFP,0.7914632277834525
MFP,0.8120990806945863
MFP,0.7934908069458632
MFP,0.7777579162410622
MFP,0.7985010214504596
MFP,0.7824578651685393
MFP,0.7824336057201225
MFP,0.7841432584269663
MFP,0.8031920326864148
MFP,0.7964568437180798
MFP,0.789196884576098
MFP,0.8067249744637385
MFP,0.8017951991828397
MFP,0.7923672114402451
MFP,0.8172752808988765
MFP,0.8017007150153217
GAMLSS,0.8076417262512768
GAMLSS,0.8025370275791623
GAMLSS,0.806435137895812
GAMLSS,0.7861555158324821
GAMLSS,0.794691011235955
GAMLSS,0.777879213483146
GAMLSS,0.7900331971399386
GAMLSS,0.7828587844739531
GAMLSS,0.7975600102145046
GAMLSS,0.8053970888661899
GAMLSS,0.8160150663942799
GAMLSS,0.7892160367722165
GAMLSS,0.800379213483146
GAMLSS,0.8059537793667007
GAMLSS,0.8044279877425943
GAMLSS,0.7896335546475997
GAMLSS,0.806852655771195
GAMLSS,0.8202311031664964
GAMLSS,0.789738253319714
GAMLSS,0.7710993360572013
GAMLSS,0.790047242083759
GAMLSS,0.8026366189989785
GAMLSS,0.7842262512768132
GAMLSS,0.7760380490296221
GAMLSS,0.7794445863125637
GAMLSS,0.8143896833503573
GAMLSS,0.7883605720122575
GAMLSS,0.8173927477017365
GAMLSS,0.7646144024514812
GAMLSS,0.803729570990807
GAMLSS,0.7854749744637385
GAMLSS,0.7753536772216548
GAMLSS,0.7982201225740552
GAMLSS,0.7799897854954035
GAMLSS,0.783849591419816
GAMLSS,0.7907609805924413
GAMLSS,0.7942032686414708
GAMLSS,0.7764772727272727
GAMLSS,0.8267441266598571
GAMLSS,0.7719956588355464
GAMLSS,0.7973684882533195
GAMLSS,0.8037295709908069
GAMLSS,0.7811363636363637
GAMLSS,0.8093079673135852
GAMLSS,0.792073544433095
GAMLSS,0.8054877425944842
GAMLSS,0.8059129213483146
GAMLSS,0.8153038815117467
GAMLSS,0.8090257916241061
GAMLSS,0.7826774770173646
GAMLSS,0.8180451991828397
GAMLSS,0.7946450459652706
GAMLSS,0.7774757405515832
GAMLSS,0.7806945863125639
GAMLSS,0.7918156281920327
GAMLSS,0.8119369254341164
GAMLSS,0.7883375893769152
GAMLSS,0.8082048008171604
GAMLSS,0.7902221654749744
GAMLSS,0.7986427477017365
GAMLSS,0.7970199182839632
GAMLSS,0.7925
GAMLSS,0.7780515832482126
GAMLSS,0.7726378958120531
GAMLSS,0.7994458631256385
GAMLSS,0.795261746680286
GAMLSS,0.8109129213483147
GAMLSS,0.7993935137895812
GAMLSS,0.8229302860061287
GAMLSS,0.8143654239019407
GAMLSS,0.7959103677221655
GAMLSS,0.801044433094995
GAMLSS,0.8028089887640448
GAMLSS,0.8048416751787538
GAMLSS,0.7801251276813075
GAMLSS,0.7998978549540348
GAMLSS,0.8030196629213483
GAMLSS,0.8107086312563843
GAMLSS,0.819652706843718
GAMLSS,0.7882775791624106
GAMLSS,0.8024016853932585
GAMLSS,0.7999846782431053
GAMLSS,0.8007226762002041
GAMLSS,0.8040985699693565
GAMLSS,0.7879481613891726
GAMLSS,0.7975995914198161
GAMLSS,0.7796769662921348
GAMLSS,0.7886797752808988
GAMLSS,0.8067173135852912
GAMLSS,0.7965730337078653
GAMLSS,0.7882635342185903
GAMLSS,0.7811631767109295
GAMLSS,0.7903434627170582
GAMLSS,0.8011670071501532
GAMLSS,0.7842926455566904
GAMLSS,0.8242160367722166
GAMLSS,0.8088802349336058
GAMLSS,0.7948110316649644
GAMLSS,0.8167760469867211
GAMLSS,0.7720709908069459
